sex;salary-class;race;workclass;marital-status;occupation;education;native-country
Female;<=50K;White;Private;Married-AF-spouse;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;9th;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Tech-support;Bachelors;United-States
Female;<=50K;White;Private;Separated;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States
Male;>50K;Black;Federal-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Exec-managerial;Masters;United-States
Male;<=50K;White;State-gov;Married-civ-spouse;Craft-repair;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Assoc-voc;United-States
Female;<=50K;Other;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty;Prof-school;Honduras
Male;>50K;White;Federal-gov;Divorced;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Self-emp-inc;Divorced;Exec-managerial;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Tech-support;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;5th-6th;Mexico
Male;<=50K;White;Private;Married-civ-spouse;Other-service;Assoc-voc;Puerto-Rico
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States
Male;<=50K;White;Private;Divorced;Tech-support;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;Some-college;United-States
Female;>50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Some-college;United-States
Female;<=50K;Black;Private;Separated;Sales;Bachelors;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Some-college;United-States
Male;<=50K;White;Private;Never-married;Other-service;HS-grad;Mexico
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-acdm;United-States
Female;<=50K;White;Private;Never-married;Other-service;11th;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Farming-fishing;7th-8th;United-States
Male;<=50K;White;Private;Never-married;Sales;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;Bachelors;Cuba
Female;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;HS-grad;United-States
Female;>50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Sales;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Protective-serv;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Never-married;Sales;9th;United-States
Female;>50K;White;Federal-gov;Never-married;Prof-specialty;Doctorate;United-States
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Assoc-voc;United-States
Female;<=50K;White;Private;Divorced;Craft-repair;Some-college;United-States
Female;<=50K;Black;Private;Divorced;Machine-op-inspct;Some-college;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Protective-serv;Bachelors;United-States
Male;<=50K;White;Local-gov;Never-married;Handlers-cleaners;Some-college;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Doctorate;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;Private;Divorced;Exec-managerial;Assoc-acdm;England
Male;<=50K;Black;Federal-gov;Never-married;Other-service;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Self-emp-not-inc;Never-married;Prof-specialty;Masters;United-States
Female;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;11th;United-States
Female;<=50K;White;Local-gov;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Sales;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Other-service;HS-grad;Canada
Female;<=50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;9th;United-States
Male;<=50K;White;Self-emp-inc;Married-civ-spouse;Sales;Some-college;United-States
Male;>50K;Black;Local-gov;Married-civ-spouse;Craft-repair;Assoc-voc;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Other-service;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;Black;Private;Never-married;Exec-managerial;Bachelors;Germany
Male;>50K;White;State-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;Black;Private;Never-married;Other-service;Some-college;United-States
Female;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-acdm;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;Some-college;United-States
Female;<=50K;White;Private;Never-married;Sales;Assoc-acdm;United-States
Female;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Bachelors;United-States
Female;<=50K;Black;Private;Divorced;Tech-support;Assoc-acdm;United-States
Male;>50K;White;Federal-gov;Married-civ-spouse;Prof-specialty;Masters;Iran
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;>50K;Asian-Pac-Islander;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;<=50K;White;Self-emp-inc;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;White;Private;Never-married;Other-service;Some-college;Mexico
Female;>50K;White;Private;Never-married;Prof-specialty;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States
Female;<=50K;Black;Private;Never-married;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;Some-college;United-States
Female;<=50K;White;Private;Widowed;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;11th;United-States
Female;<=50K;White;Local-gov;Divorced;Adm-clerical;Some-college;Mexico
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Female;<=50K;Asian-Pac-Islander;Private;Never-married;Exec-managerial;Bachelors;Philippines
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;Bachelors;United-States
Male;<=50K;Black;Self-emp-not-inc;Separated;Sales;Some-college;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Male;<=50K;Black;Private;Separated;Other-service;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Female;<=50K;Asian-Pac-Islander;Self-emp-inc;Divorced;Exec-managerial;Masters;United-States
Female;<=50K;Asian-Pac-Islander;Private;Never-married;Exec-managerial;HS-grad;England
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Masters;United-States
Female;<=50K;White;Private;Divorced;Other-service;Some-college;Mexico
Male;<=50K;White;Federal-gov;Never-married;Exec-managerial;Assoc-acdm;United-States
Male;<=50K;White;State-gov;Widowed;Protective-serv;Masters;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;11th;United-States
Female;<=50K;White;Local-gov;Widowed;Prof-specialty;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;White;State-gov;Married-civ-spouse;Protective-serv;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;Bachelors;United-States
Male;>50K;White;State-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Female;<=50K;White;Private;Married-spouse-absent;Sales;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Handlers-cleaners;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;>50K;Black;Local-gov;Married-civ-spouse;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;Some-college;United-States
Male;<=50K;Black;Private;Never-married;Craft-repair;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;7th-8th;Mexico
Male;>50K;White;Federal-gov;Married-civ-spouse;Adm-clerical;Some-college;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Self-emp-not-inc;Divorced;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;>50K;White;State-gov;Married-civ-spouse;Prof-specialty;Doctorate;United-States
Female;<=50K;Black;Private;Divorced;Machine-op-inspct;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;Some-college;United-States
Male;<=50K;Black;Local-gov;Married-civ-spouse;Craft-repair;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Tech-support;Some-college;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Tech-support;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;5th-6th;Mexico
Male;<=50K;White;Private;Divorced;Craft-repair;Some-college;United-States
Female;>50K;White;Federal-gov;Never-married;Exec-managerial;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Sales;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Local-gov;Never-married;Prof-specialty;Some-college;United-States
Female;<=50K;White;State-gov;Divorced;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;11th;United-States
Male;>50K;Black;Private;Married-civ-spouse;Other-service;Bachelors;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Female;>50K;White;Self-emp-inc;Married-civ-spouse;Sales;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;11th;United-States
Male;<=50K;Black;Local-gov;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;Amer-Indian-Eskimo;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;Asian-Pac-Islander;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Machine-op-inspct;7th-8th;United-States
Male;>50K;Black;Private;Never-married;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Private;Divorced;Sales;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Bachelors;Poland
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;10th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;Some-college;United-States
Male;<=50K;Black;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Local-gov;Never-married;Machine-op-inspct;Preschool;United-States
Female;<=50K;White;Private;Never-married;Sales;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Farming-fishing;HS-grad;United-States
Female;<=50K;White;Private;Widowed;Adm-clerical;Assoc-voc;Columbia
Female;<=50K;White;Private;Divorced;Adm-clerical;HS-grad;United-States
Male;<=50K;Black;Private;Separated;Transport-moving;11th;United-States
Female;<=50K;Black;Private;Divorced;Sales;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Female;<=50K;Other;Private;Divorced;Craft-repair;Some-college;United-States
Male;>50K;White;Private;Never-married;Prof-specialty;Prof-school;United-States
Male;<=50K;White;State-gov;Married-civ-spouse;Other-service;HS-grad;United-States
Female;<=50K;White;State-gov;Never-married;Adm-clerical;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;Iran
Male;>50K;White;Local-gov;Married-civ-spouse;Exec-managerial;Masters;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Female;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Other-service;HS-grad;United-States
Male;<=50K;White;State-gov;Married-civ-spouse;Protective-serv;Assoc-acdm;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Tech-support;Assoc-acdm;United-States
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Female;<=50K;Black;Private;Married-civ-spouse;Adm-clerical;Bachelors;United-States
Female;<=50K;Black;Local-gov;Widowed;Other-service;10th;United-States
Male;<=50K;White;Local-gov;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;Some-college;United-States
Male;>50K;Asian-Pac-Islander;Self-emp-not-inc;Married-civ-spouse;Farming-fishing;HS-grad;Cambodia
Female;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Female;<=50K;White;Private;Separated;Other-service;HS-grad;United-States
Female;<=50K;White;Private;Widowed;Exec-managerial;Assoc-voc;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;7th-8th;United-States
Female;<=50K;White;Private;Divorced;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Other-service;11th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;11th;United-States
Male;>50K;Asian-Pac-Islander;Self-emp-inc;Married-civ-spouse;Exec-managerial;Some-college;Thailand
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Bachelors;United-States
Female;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Other-service;9th;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Farming-fishing;Masters;United-States
Male;<=50K;White;Local-gov;Never-married;Prof-specialty;Masters;United-States
Female;<=50K;White;Private;Divorced;Prof-specialty;HS-grad;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Female;<=50K;White;Private;Never-married;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States
Female;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;Some-college;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Bachelors;Germany
Male;>50K;White;Local-gov;Married-civ-spouse;Craft-repair;Some-college;United-States
Female;<=50K;Black;Private;Divorced;Sales;Assoc-acdm;United-States
Female;<=50K;White;Private;Divorced;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States
Male;>50K;White;Federal-gov;Married-civ-spouse;Sales;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;<=50K;White;Private;Divorced;Other-service;Some-college;United-States
Female;<=50K;White;Private;Never-married;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;7th-8th;Ecuador
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Female;<=50K;White;Private;Divorced;Prof-specialty;HS-grad;United-States
Male;<=50K;White;Local-gov;Never-married;Protective-serv;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Female;<=50K;Black;Private;Never-married;Tech-support;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Female;<=50K;White;Self-emp-inc;Divorced;Sales;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Divorced;Sales;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Adm-clerical;Bachelors;United-States
Female;<=50K;Asian-Pac-Islander;Private;Never-married;Other-service;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;HS-grad;United-States
Female;<=50K;Asian-Pac-Islander;Private;Married-civ-spouse;Adm-clerical;Some-college;Laos
Female;<=50K;White;Private;Divorced;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Tech-support;Assoc-acdm;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Assoc-acdm;United-States
Male;>50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-acdm;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Farming-fishing;Some-college;United-States
Male;<=50K;White;Private;Never-married;Sales;Bachelors;United-States
Male;>50K;Asian-Pac-Islander;Private;Married-civ-spouse;Exec-managerial;Masters;Taiwan
Female;>50K;Black;Self-emp-not-inc;Divorced;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;5th-6th;Mexico
Female;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States
Female;<=50K;White;Private;Widowed;Other-service;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;<=50K;White;Private;Divorced;Transport-moving;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Exec-managerial;11th;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;Masters;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Farming-fishing;HS-grad;United-States
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Handlers-cleaners;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Craft-repair;Some-college;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Other-service;Assoc-voc;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Adm-clerical;10th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Other-service;5th-6th;Mexico
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Masters;United-States
Male;<=50K;Black;Private;Never-married;Sales;HS-grad;Haiti
Male;<=50K;Black;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Sales;Assoc-acdm;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;Assoc-voc;United-States
Male;>50K;White;State-gov;Married-civ-spouse;Protective-serv;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Farming-fishing;HS-grad;United-States
Female;<=50K;Black;State-gov;Never-married;Protective-serv;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Sales;Bachelors;United-States
Male;<=50K;White;Private;Married-spouse-absent;Other-service;Assoc-acdm;Iran
Male;<=50K;White;Private;Never-married;Prof-specialty;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Transport-moving;11th;United-States
Male;>50K;White;Federal-gov;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;<=50K;Other;Private;Widowed;Other-service;11th;United-States
Male;>50K;White;Private;Married-civ-spouse;Tech-support;Assoc-voc;United-States
Female;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;9th;Portugal
Female;<=50K;White;Private;Married-civ-spouse;Other-service;10th;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;Bachelors;United-States
Male;>50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Married-spouse-absent;Sales;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;Private;Never-married;Sales;Assoc-acdm;United-States
Female;>50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Private;Divorced;Sales;HS-grad;United-States
Female;<=50K;White;Federal-gov;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Never-married;Other-service;11th;United-States
Male;>50K;White;State-gov;Married-civ-spouse;Machine-op-inspct;Assoc-voc;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Craft-repair;HS-grad;United-States
Female;<=50K;White;Local-gov;Never-married;Adm-clerical;Some-college;United-States
Female;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Divorced;Exec-managerial;Masters;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;HS-grad;United-States
Male;<=50K;White;Private;Divorced;Transport-moving;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Craft-repair;5th-6th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Female;<=50K;White;Private;Divorced;Sales;Some-college;United-States
Female;<=50K;White;Local-gov;Married-civ-spouse;Transport-moving;Some-college;United-States
Female;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Separated;Machine-op-inspct;HS-grad;United-States
